"d34_mid","d34_uime","n8","address","description","latitude","longitude"
,"Društvo Lipa Domžale",4011,"Ljubljanska 58, 1230 Domžale","","46.1380262","14.5910958"
,"Občina Šentjur (sejna soba, pritličje občinske stavbe)",5001,"Mestni trg 10, 3230 Šentjur ","","46.2169736","15.3939029"
,"UE Celje",5002,"Ljubljanska cesta 1, 3000Celje","","46.2294595","15.2609484"
,"UE Celje",5003,"Ljubljanska cesta 1, 3000 Celje","","46.2294595","15.2609484"
,"UE Žalec ",5004,"Ulica Savinjske čete 5, 3310 Žalec","","46.250406","15.1641877"
,"UE Žalec",5005,"Ulica Savinjske čete 5, 3310 Žalec","","46.250406","15.1641877"
,"Upravna enota Črnomelj",6001,"Zadružna cesta 16, 8340 Črnomelj","","45.5793511","15.1959748"
,"Upravna enota Novo mesto",6002,"Defranceschijeva ulica 1, 8000 Novo mesto","","45.8039406","15.1647527"
,"Upravna enota Novo mesto",6003,"Defranceschijeva ulica 1, 8000 Novo mesto","","45.8039406","15.1647527"
,"Občina Trebnje (sejna soba)",6004,"Goliev trg 5, 8210 Trebnje ","","45.9080153","15.0077466"
,"Upravna enota Brežice ",6005,"Cesta prvih borcev 24a, 8250 Brežice","","45.9043876","15.5928268"
,"Občina Krško",6006,"Cesta krških žrtev 14, 8270 Krško","","45.9665566","15.4849063"
,"Občina Sevnica",6007,"Glavni trg 19 a, 8290 Sevnica","","46.00572409999999","15.3155368"
,"Občina Laško (Energetsko svetovalna pisarna)",6008,"Mestna ulica 2, 3270 Laško","","46.1537623","15.2352672"
,"Kulturni dom",6008,"Gledališka pot 2, 1433 Radeče","","46.0656821","15.1822528"
,"Občina Litija",6009,"Jerebova ulica 14, 1270 Litija","","46.0573173","14.8312543"
,"Upravna zgradba",6010,"Pot Vitka Pavliča 5, 1430 Hrastnik ","","46.1459334","15.0816062"
,"Upravna zgradba Trbovlje",6010,"Mestni trg 4, 1420 Trbovlje","","46.1562802","15.0540445"
,"Weinbergerjeva hiša",6011,"Cesta 9. avgusta 4, 1410 Zagorje ob Savi","","46.1344034","14.9952794"
,"Kulturni dom Šmarje pri Jelšah",7001,"Aškerčev trg 20, 3240 Šmarje pri Jelšah","","46.2282002","15.518307"
,"Sprejemna pisarna za osebe s posebnimi potrebami ",7002,"Kolodvorska 10, 2310 Slovenska Bistrica","","46.3919326","15.5755427"
,"Občina Slovenske Konjice (sejna soba)",7003,"Stari trg 29, 3210 Slovenske Konjice","","46.3371712","15.4221431"
,"Občina Selnica ob Dravi",7004,"Slovenski trg 4, 2352 Selnica ob Dravi ","","46.55150080000001","15.4928736"
,"Upravna enota Ruše",7004,"Kolodvorska ulica 9, 2342 Ruše","","46.5389767","15.5101474"
,"Kulturni dom Kamnica",7005,"Vrbanska 97, 2351 Kamnica","","46.5732436","15.6153915"
,"KD Hoče",7006,"Pohorska cesta 15, 2311 Hoče","","46.4984827","15.646824"
,"MČ Brezje",7007,"Na trati 2, 2000 Maribor ","","46.5359413","15.687387"
,"Razstavni salon",7008,"Grajska ulica 7, 2000 Maribor","","46.5610717","15.6481454"
,"Mestni mladinski svet",7009,"Trg revolucije 9, 2000 Maribor","","46.5545412","15.6455169"
,"JZ Gasilske brigade",7010,"Cesta proletarskih brigad 21, 2000 Maribor","","46.5398936","15.6437489"
,"MČ Tabor",7011,"Metelkova 63, 2000 Maribor","","46.5420232","15.6435372"
,"Upravna enota Lendava",8001,"Trg ljudske pravice 5, 9220 Lendava","","46.56168659999999","16.455478"
,"OVK, 8VE, 2 VO (UE Ormož) ",8002,"Ptujska cesta 6, 2270 Ormož","","46.4073676","16.1472849"
,"Doma kulture",8003,"Prešernova ulica 20, 9240 Ljutomer","","46.5206036","16.1950794"
,"Mestna občina Murska Sobota (avla sejne dvorane)",8004,"Kardoševa ulica 2, 9000 Murska Sobota","","46.6627224","16.1639805"
,"Mestna Občina Murska Sobota (avla velike sejne dvorane) ",8005,"Kardoševa ulica 2, 9000 Murska Sobota","","46.6627224","16.1639805"
,"UE Gornja Radgona",8006,"Partizanska cesta 13, 9250 Gornja Radgona","","46.6775582","15.9903463"
,"Upravna enota Lenart (avla)",8007,"Trg osvoboditve 7, 2230 Lenart v Slov. goricah","","46.5759634","15.83071"
,"Večnamenski KTPC Pesnica",8008,"Pesnica pri Mariboru 41, 2211 Pesnica","","46.6084884","15.6754652"
,"Upravna enota Ptuj",8009,"Slomškova 10, 2250 Ptuj","","46.4214918","15.8719051"
,"Upravna enota Ptuj",8010,"Slomškova 10, 2250 Ptuj","","46.4214918","15.8719051"
,"Upravna enota Ptuj",8011,"Slomškova 10, 2250 Ptuj","","46.4214918","15.8719051"
,"Upravna enota Jesenice (konferenčna soba št. 227) ",1001," Cesta železarjev 6 A, 4270 Jesenice","","46.4320606","14.0623146"
