"d34_mid","d34_uime","n8","address","description","latitude","longitude"
20109149,"Gasilski dom",602039,"Dolenji Maharovec 19, 8310 Šentjernej","","45.8492295","15.3014276"
20108649,"Tajčman Marija",602040,"Gorenja Gomila 5, 8310 Šentjernej","","45.8631889","15.2881435"
20109157,"Gasilski dom",602041,"Gorenja Stara vas 21, 8310 Šentjernej","","45.8375035","15.3537883"
20108657,"Gasilski dom",602042,"Gorenje Vrhpolje 86, 8310 Šentjernej","","45.8146902","15.3275435"
20109254,"Gasilski dom",602043,"Groblje pri Prekopi 36, 8310 Šentjernej","","45.8532111","15.3621097"
20108665,"Gasilski dom",602044,"Orehovica 57, 8310 Šentjernej","","45.815517","15.3032947"
20109165,"Andrej Turk",602045,"Roje 12, 8310 Šentjernej ","","45.8611468","15.3430054"
20108673,"Mizarstvo Cvelbar",602046,"Mršeča vas 1, 8310 Šentjernej","","45.8768024","15.3635752"
20108681,"Osnovna šola Šentjernej",602048,"Prvomajska cesta 9, 8310 Šentjernej","","45.8448319","15.3405774"
20109181,"KC Primoža Trubarja",602049,"Trubarjeva c. 13, 8310 Šentjernej","","45.8449822","15.3367478"
20108533,"Gasilski dom",602050,"Reber 16, 8360 Žužemberk","","45.8536636","14.9297563"
20108851,"Gasilski dom",602051,"Vrh pri Križu 17, 8360 Žužemberk","","45.86237879999999","14.8854087"
20108592,"Dom krajanov",602052,"Veliko Lipje ","","45.7990439","14.9201959"
20109246,"Gasilski dom",602053,"Šmihel pri Žužemberku 38, 8360 Žužemberk ","","45.8516165","14.8817484"
20108266,"Gasilski dom",602054,"Dolnji Ajdovec 21, 8361 Dvor","","45.8286612","15.0102722"
20108754,"Gasilski dom",602055,"Hinje 38, 8362 Hinje","","45.7683611","14.8847565"
20109238,"Osnovna šola Prevole",602056,"Prevole 32, 8362 Hinje","","45.7734846","14.8626913"
20108541,"Edo Škufca",602057,"Sela pri Hinjah 11, 8362 Hinje ","","45.7964947","14.8870294"
20108606,"Gasilski dom",602058,"Žvirče ","","45.7828184","14.8241589"
20108282,"Podružnična šola Dvor (avla nove stavbe)",602059,"Dvor 23, 8361 Dvor","","45.811166","14.9657723"
20108975,"Porodnišnica (avla)",603001,"Šmihelska cesta 1, 8000 Novo mesto","","45.8001628","15.1638409"
20109211,"Stara OŠ",603002,"Dolenje Karteljevo ","","45.8645807","15.1424274"
20108428,"Vrtec",603004,"Šegova ulica 22, 8000 Novo mesto","","45.7982514","15.1570523"
20108452,"Prostori KS",603005,"Ulica Slavka Gruma 9, 8000 Novo mesto","","45.7988157","15.1556424"
20108878,"Janez Miklič",603006,"Gorenje Kamence 9, 8000 Novo mesto","","45.8368097","15.1385127"
20108983,"Dom Krajanov KS Gotna vas",603008,"Jedinščica 58, 8000 Novo mesto","","45.78359950000001","15.1789201"
20108355,"Osnovna šola",603009,"Mali Slatnik 7, 8000 Novo mesto","","45.8091833","15.2052466"
20108347,"Gasilski dom",603010,"Križe 27, 8000 Novo mesto","","45.7999125","15.2302438"
20108959,"Dom krajanov",603011,"Regrča vas 101, 8000 Novo mesto","","45.7830521","15.1701145"
20108550,"Gasilski dom",603012,"Novomeška cesta 1, 8351 Straža pri Novem mestu","","45.796564","15.0872204"
20109220,"Gasilski dom",603013,"Dolenje Kamence 3, 8000 Novo mesto","","45.8292271","15.1545981"
20108371,"UE Novo mesto",603014,"Defranceschijeva ulica 1, 8000 Novo mesto","","45.8039406","15.1647527"
20108932,"Osnovna šola",603017,"Kočevarjeva ulica 40, 8000 Novo mesto","","45.8164056","15.1584399"
20108398,"Vrtec",603018,"Ragovska ulica 18, 8000 Novo mesto","","45.803763","15.1762245"
20108401,"Družbeni center",603019,"Seidlova cesta 28, 8000 Novo mesto","","45.8117368","15.1721995"
20109319,"Gimnazija Novo mesto",603020," Seidlova cesta 9, 8000 Novo mesto","","45.8075907","15.163919"
20108444,"Dom Krajanov KS Žabja vas",603022,"Šentjernejska cesta 10, 8000 Novo mesto","","45.8003604","15.1830124"
20108762,"Osnovna šola Grm",603023,"Trdinova ulica 7, 8000 Novo mesto","","45.7990584","15.1720737"
20108991,"Okrepčevalnica Gedžo",603024,"Bršljin 37, 8000 Novo mesto","","45.8143794","15.1483473"
20108479,"Vrtec Žabjak",603025,"8000 Novo mesto","","45.80108240000001","15.1710089"
20108860,"Mladinski dom Drganja sela",603026,"Drganja sela 3, 8351 Straža pri Novem mestu","","45.7473922","15.0916603"
20109009,"Gasilski dom",603027,"Šentpeter 1, 8222 Otočec","","45.8337879","15.2197853"
20108789,"Matjaževa domačija",603028,"Paha 3, 8222 Otočec","","45.8522815","15.2077711"
20109050,"Kulturni dom Straža",603029,"Na žago 4, 8351 Straža pri Novem mestu","","45.78532269999999","15.0764781"
