"id","name","address","description","lat","lon"
"510021","Čistilna naprava Ravne","Dobrije 9a, 2390 Ravne na Koroškem ","","46.5565063","14.9909564"
"510022","Mladinski dom Strojnska Reka","Stražišče 15, 2390 Ravne na Koroškem ","","46.5567256","14.9562808"
"510023","Kmetija Lizi","Zelen breg 8, 2390 Ravne na Koroškem","","46.5709847","14.9324094"
"510024","Osnovna Šola Strojna","Strojna 22, 2391 Prevalje ","","46.5960057","14.9137977"
"510025","MPIK1","Dobja vas 185, 2390 Ravne na Koroškem","","46.5470313","14.9421139"
"510026","Oš Prevalje 1","Polje 4, 2391 Prevalje","","46.5475868","14.9224881"
"510027","Oš Prevalje 2","Polje 4, 2391 Prevalje","","46.5475868","14.9224881"
"510028","Družbeni dom Prevalje 1","Trg 2a, 2391 Prevalje","","46.5461171","14.9177698"
"510029","Družbeni dom Prevalje 2","Trg 2a, 2391 Prevalje","","46.5461171","14.9177698"
"510030","Družbeni dom Prevalje 3","Trg 2a, 2391 Prevalje","","46.5461171","14.9177698"
"510031","Družbeni dom Prevalje 4","Trg 2a, 2391 Prevalje","","46.5461171","14.9177698"
"510032","Bistro kocka","Poljana 20a, 2391 Prevalje","","46.54476289999999","14.8736942"
"510033","Osnovna šola Šentanel","Šentanel 13, 2391 Prevalje","","46.5729057","14.8753263"
"510034","Osnovna šola Leše","Leše 30, 2391 Prevalje","","46.5307264","14.9015361"
"510035","Osnovna šola Holmec","Dolga brda 37a, 2391 Prevalje","","46.5612471","14.8498363"
"510036","Gasilski dom Kotlje","Kotlje 4a, 2394 Kotlje","","46.5219356","14.9869713"
"511001","Občina Dravograd","Trg 4. julija 7, 2370 Dravograd","","46.5892067","15.0228513"
"511002","OŠ Dravograd","Trg 4. julija 64, 2370 Dravograd","","46.5891156","15.0199397"
"511003","Upravna enota Dravograd","Meža 10, 2370 Dravograd","","46.5865739","15.0248973"
"511004","FURS urad Dravograd","Mariborska cesta 3, 2370 Dravograd","","46.59005459999999","15.0270103"
"511005","Vrtec Robindvor","Robindvor 60, 2370 Dravograd","","46.592943","15.0275237"
"511006","Turistična kmetija Vrajenk","Vič 16, 2370 Dravograd","","46.6111448","14.9921387"
"511007","Podružnična šola Ojstrica","Ojstrica 27, 2370 Dravograd","","46.6188863","15.0352928"
"511008","Jamnik Otiški Vrh","Otiški Vrh 56, 2373 Šentjanž pri Dravogradu ","","46.5680334","15.0388643"
"511009","Župnišče Šempeter","Otiški Vrh 92, 2373 Šentjanž pri Dravogradu ","","46.5659168","15.0462708"
"511010","OŠ Šentjanž pri Dravogradu","Šentjanž pri Dravogradu 88, 2373 Šentjanž pri Dravogradu ","","46.5630301","15.0373384"
"511011","Podružična šola Trbonje","Trbonje 26, 2371 Trbonje","","46.5996589","15.1056896"
"511012","Kmetija Buč","Libeliče 16, 2372 Libeliče ","","46.6200518","14.9473661"
"511013","Gasilski dom Črneče","Črneče 145, 2370 Dravograd","","46.5881372","14.9987774"
"511014","OŠ Muta","Šolska ulica 6, 2366 Muta","","46.6084348","15.1625195"
"511015","Godbeni dom Muta","Livarska ulica 4, 2366 Muta","","46.6118542","15.1667208"
"511016","Družbeni Dom Gortina","Gortina 78, 2366 Muta","","46.60622619999999","15.1244016"
"511017","Glasbeni dom Bistriški jarek","Pernice 10a, 2366 Muta","","46.6407753","15.1303899"
"511018","Kulturni dom Podvelka","Podvelka 55, 2363 Podvelka","","46.5903517","15.3310343"
"511019","OŠ Brezno-Podvelka","Brezno 78, 2363 Podvelka","","46.5929575","15.3182401"
"511020","Dvorana Ožbalt","Ožbalt 3, 2361 Ožbalt","","46.5838771","15.3918163"
"511021","Podružnična šola Kapla","Sp. Kapla 2, 2362 Kapla","","46.636805","15.3761355"
"511022","Podružnična šola Lehen","Lehen na Pohorju 49, 2363 Podvelka","","46.5525722","15.3283581"
"511023","OŠ Ribnica na Pohorju","Ribnica na Pohorju 29, 2364 Ribnica na Pohorju ","","46.5356403","15.2675136"
"511024","Kulturna dvorana Josipdol","Josipdol 29, 2364 Ribnica na Pohorju","","46.5254327","15.2904519"
"511025","Zdravstveni dom Radlje","Mariborska c. 37, 2360 Radlje ob Dravi ","","46.6137177","15.2307363"
"511026","Društvo upokojencev","Mariborska cesta 26, 2360 Radlje ob Dravi ","","46.6139932","15.2269669"
"511027","OŠ Radlje ob Dravi","Koroška cesta 17, 2360 Radlje ob Dravi ","","46.6137892","15.220525"
"511028","Ribiški dom Radlje","Zgornja Vižinga 1, 2360 Radlje ob Dravi ","","46.6141201","15.2038668"
"511029","Bar Vas","Vas 32, 2360 Radlje ob Dravi","","46.6002051","15.2587767"
"511030","KS Sv. Anton na Pohorju","Sv. Anton na Pohorju 59, 2365 Vuhred ","","46.5586109","15.209334"
"511031","Večnamenska dvorana","Vuhred 1. 2365 Vuhred ","","46.5955953","15.2319142"
