"id","name","address","description","lat","lon"
"5010","Občina Ravne na Koroškem","Gačnikova pot 5, 2390 Ravne na Koroškem","","46.5437646","14.9625755"
"5011","Upravna enota Radlje ob Dravi","Mariborska cesta 7, 2360 Radlje ob Dravi","","46.6146927","15.2246171"
"5011","UE Dravograd","Meža 10, 2370 Dravograd","","46.5865739","15.0248973"
"6001","Upravna enota Črnomelj","Zadružna cesta 16, 8340 Črnomelj","","45.5793511","15.1959748"
"6001","Upravna enota Metlika","Naselje Borisa Kidriča 14, 8330 Metlika ","","45.6457365","15.3171453"
"6002","Upravna enota Novo mesto","Defranceschijeva ulica 1, 8000 Novo mesto","","45.8039406","15.1647527"
"6003","Upravna enota Novo mesto","Defranceschijeva ulica 1, 8000 Novo mesto","","45.8039406","15.1647527"
"6004","Občina Trebnje (sejna soba)","Goliev trg 5, 8210 Trebnje ","","45.9080153","15.0077466"
"6005","Upravna enota Brežice ","Cesta prvih borcev 24a, 8250 Brežice","","45.9043876","15.5928268"
"6006","Občina Krško","Cesta krških žrtev 14, 8270 Krško","","45.9665566","15.4849063"
"6007","Občina Sevnica","Glavni trg 19 a, 8290 Sevnica","","46.00572409999999","15.3155368"
"6008","Kulturni dom","Gledališka pot 2, 1433 Radeče","","46.0656821","15.1822528"
"6008","Občina Laško (Energetsko svetovalna pisarna)","Mestna ulica 2, 3270 Laško","","46.1537623","15.2352672"
"6009","Občina Litija","Jerebova ulica 14, 1270 Litija","","46.0573173","14.8312543"
"6010","Upravna zgradba","Pot Vitka Pavliča 5, 1430 Hrastnik ","","46.1459334","15.0816062"
"6010","Upravna zgradba Trbovlje","Mestni trg 4, 1420 Trbovlje","","46.1562802","15.0540445"
"6011","Weinbergerjeva hiša","Cesta 9. avgusta 4, 1410 Zagorje ob Savi","","46.1344034","14.9952794"
"7001","Kulturni dom Šmarje pri Jelšah","Aškerčev trg 20, 3240 Šmarje pri Jelšah","","46.2282002","15.518307"
"7002","Sprejemna pisarna za osebe s posebnimi potrebami ","Kolodvorska 10, 2310 Slovenska Bistrica","","46.3919326","15.5755427"
"7003","Občina Slovenske Konjice (sejna soba)","Stari trg 29, 3210 Slovenske Konjice","","46.3371712","15.4221431"
"7004","Občina Selnica ob Dravi","Slovenski trg 4, 2352 Selnica ob Dravi ","","46.55150080000001","15.4928736"
"7004","Upravna enota Ruše","Kolodvorska ulica 9, 2342 Ruše","","46.5389767","15.5101474"
"7005","Kulturni dom Kamnica","Vrbanska 97, 2351 Kamnica","","46.5732436","15.6153915"
"7006","KD Hoče","Pohorska cesta 15, 2311 Hoče","","46.4984827","15.646824"
"7007","MČ Brezje","Na trati 2, 2000 Maribor ","","46.5359413","15.687387"
"7008","Razstavni salon","Grajska ulica 7, 2000 Maribor","","46.5610717","15.6481454"
"7009","Mestni mladinski svet","Trg revolucije 9, 2000 Maribor","","46.5545412","15.6455169"
"7010","JZ Gasilske brigade","Cesta proletarskih brigad 21, 2000 Maribor","","46.5398936","15.6437489"
"7011","MČ Tabor","Metelkova 63, 2000 Maribor","","46.5420232","15.6435372"
"8001","Upravna enota Lendava","Trg ljudske pravice 5, 9220 Lendava","","46.56168659999999","16.455478"
"8002","OVK, 8VE, 2 VO (UE Ormož) ","Ptujska cesta 6, 2270 Ormož","","46.4073676","16.1472849"
"8003","Doma kulture","Prešernova ulica 20, 9240 Ljutomer","","46.5206036","16.1950794"
"8004","Mestna občina Murska Sobota (avla sejne dvorane)","Kardoševa ulica 2, 9000 Murska Sobota","","46.6627224","16.1639805"
"8005","Mestna Občina Murska Sobota (avla velike sejne dvorane) ","Kardoševa ulica 2, 9000 Murska Sobota","","46.6627224","16.1639805"
"8006","UE Gornja Radgona","Partizanska cesta 13, 9250 Gornja Radgona","","46.6775582","15.9903463"
"8007","Upravna enota Lenart (avla)","Trg osvoboditve 7, 2230 Lenart v Slov. goricah","","46.5759634","15.83071"
"8008","Večnamenski KTPC Pesnica","Pesnica pri Mariboru 41, 2211 Pesnica","","46.6084884","15.6754652"
"8009","Upravna enota Ptuj","Slomškova 10, 2250 Ptuj","","46.4214918","15.8719051"
"8010","Upravna enota Ptuj","Slomškova 10, 2250 Ptuj","","46.4214918","15.8719051"
"8011","Upravna enota Ptuj","Slomškova 10, 2250 Ptuj","","46.4214918","15.8719051"
