24;04;2022;22;45
21
1;DeSUS;DeSUS - DEMOKRATIČNA STRANKA UPOKOJENCEV SLOVENIJE;8DBC15
2;DOM;DOMOVINSKA LIGA - DOM;023463
3;Resni.ca;Državljansko gibanje Resni.ca;67359A
4;SVOBODA;GIBANJE SVOBODA;005DA3
5;ZSi;Gibanje Zedinjena Slovenija - ZSi;C6EFFA
6;LEVICA;LEVICA;FB4C48
7;L'BP;Lista Borisa Popoviča - Digitalizirajmo Slovenijo;0089CD
8;LMŠ;LISTA MARJANA ŠARCA - LMŠ;23A567
9;NAŠA DEŽELA;NAŠA DEŽELA stranka dr. ALEKSANDRE PIVEC;126C00
10;SNP-DD;NAŠA PRIHODNOST IN DOBRA DRŽAVA;8DE0FD
11;NESTRANKARSKA;NESTRANKARSKA LJUDSKA LISTA GIBANJA ZDRAVA DRUŽBA;ADA702
12;NSi;NOVA SLOVENIJA - KRŠČANSKI DEMOKRATI;009AC7
13;Pirati;PIRATSKA STRANKA SLOVENIJE;000000
14;POVEŽIMO;POVEŽIMO SLOVENIJO (KONKRETNO, ZELENI, SLS, NLS, NS);E8AB02
15;SDS;SLOVENSKA DEMOKRATSKA STRANKA - SDS;FFE53F
16;SNS;SLOVENSKA NACIONALNA STRANKA - SNS;4D4D4D
17;SD;SOCIALNI DEMOKRATI - SD;CB000D
18;SAB;STRANKA ALENKE BRATUŠEK;F3808A
19;VESNA;VESNA - zelena stranka;C9FFA1
20;ZLS;ZA LJUDSTVO SLOVENIJE  - ZLS;89AEDB
21;ZOS;ZOS - ZAVEZNIŠTVO OSVOBODIMO SLOVENIJO (GIBANJE ZEDINJENA SLOVENIJA - ZSI IN STRANKA SLOVENSKEGA NARODA - SSN);129847
6;Novo mesto;4;Trebnje;12135;11989;146;98,80
6;Novo mesto;5;Brežice;13322;13189;133;99,00
6;Novo mesto;6;Krško;15692;15533;159;98,99
6;Novo mesto;7;Sevnica;11782;11649;133;98,87
6;Novo mesto;8;Laško;10330;10214;116;98,88
6;Novo mesto;9;Litija;12117;11986;131;98,92
6;Novo mesto;10;Hrastnik - Trbovlje;12606;12472;134;98,94
6;Novo mesto;11;Zagorje;10096;10020;76;99,25
7;Maribor;7;Maribor;126826;125619;1207;99,05
7;Maribor;1;Šmarje pri Jelšah;14890;14677;213;98,57
7;Maribor;2;Slovenska Bistrica;17594;17434;160;99,09
7;Maribor;3;Slovenske Konjice;13774;13631;143;98,96
7;Maribor;4;Ruše;8594;8526;68;99,21
7;Maribor;5;Maribor 1;13016;12915;101;99,22
7;Maribor;6;Maribor 2;12006;11907;99;99,18
7;Maribor;7;Maribor 3;11578;11459;119;98,97
7;Maribor;8;Maribor 4;8565;8501;64;99,25
7;Maribor;9;Maribor 5;10288;10192;96;99,07
7;Maribor;10;Maribor 6;7992;7935;57;99,29
7;Maribor;11;Maribor 7;8529;8442;87;98,98
8;Ptuj;8;Ptuj;133446;132126;1320;99,01
8;Ptuj;1;Lendava;11963;11832;131;98,90
8;Ptuj;2;Ormož;9410;9300;110;98,83
8;Ptuj;3;Ljutomer;8862;8759;103;98,84
8;Ptuj;4;Murska Sobota 1;15077;14933;144;99,04
8;Ptuj;5;Murska Sobota 2;16459;16299;160;99,03
8;Ptuj;6;Gornja Radgona;11587;11473;114;99,02
8;Ptuj;7;Lenart;10678;10575;103;99,04
8;Ptuj;8;Pesnica;11478;11383;95;99,17
8;Ptuj;9;Ptuj 1;14677;14521;156;98,94
8;Ptuj;10;Ptuj 2;10679;10614;65;99,39
8;Ptuj;11;Ptuj 3;12576;12437;139;98,89
1
0;692;0,49
107;0,75;41;0,42;53;0,46;86;0,60;63;0,52;62;0,33;49;0,56;56;0,40;48;0,40;85;0,48;42;0,46
0;818;0,68
55;0,58;62;0,72;29;0,82;78;0,68;85;0,56;32;0,70;58;0,78;104;0,99;126;0,71;89;0,54;100;0,67
0;434;0,29
50;0,27;43;0,28;54;0,29;30;0,27;40;0,33;35;0,23;23;0,30;23;0,23;46;0,35;26;0,22;64;0,37
0;640;0,47
65;0,74;43;0,43;59;0,54;56;0,57;55;0,33;64;0,64;63;0,69;63;0,37;33;0,31;63;0,39;76;0,44
0;830;0,64
107;0,90;109;0,65;52;0,80;85;0,72;98;0,71;53;0,54;38;0,48;59;0,49;92;0,70;49;0,40;88;0,67
0;1342;0,94
248;1,74;188;1,08;195;1,40;106;0,88;98;0,74;86;0,55;134;1,15;58;0,57;107;0,89;76;0,61;46;0,46
0;786;0,63
102;0,69;126;0,72;64;0,47;105;1,23;55;0,43;70;0,59;51;0,45;50;0,59;63;0,62;44;0,55;56;0,66
0;1280;0,97
122;1,03;69;0,74;174;1,99;230;1,54;110;0,67;154;1,34;86;0,81;82;0,72;83;0,57;56;0,53;114;0,92
2
0;401;0,28
65;0,46;48;0,49;29;0,25;46;0,32;46;0,38;48;0,26;10;0,12;35;0,25;30;0,25;37;0,21;7;0,08
0;199;0,17
15;0,16;16;0,18;12;0,34;10;0,09;22;0,14;5;0,11;8;0,11;23;0,22;31;0,17;34;0,21;23;0,15
0;302;0,20
26;0,14;23;0,15;47;0,25;24;0,22;27;0,22;21;0,14;16;0,21;30;0,30;33;0,25;24;0,20;31;0,18
0;254;0,19
11;0,13;12;0,12;28;0,26;23;0,23;23;0,14;16;0,16;25;0,27;33;0,20;25;0,23;26;0,16;32;0,18
0;186;0,14
17;0,14;27;0,16;11;0,17;13;0,11;25;0,18;11;0,11;18;0,23;19;0,16;16;0,12;21;0,17;8;0,06
0;230;0,16
15;0,11;43;0,25;27;0,19;40;0,33;9;0,07;22;0,14;26;0,22;16;0,16;17;0,14;8;0,06;7;0,07
0;203;0,16
19;0,13;17;0,10;29;0,21;10;0,12;19;0,15;16;0,13;22;0,19;13;0,15;30;0,29;7;0,09;21;0,25
0;137;0,10
16;0,14;5;0,05;9;0,10;15;0,10;12;0,07;19;0,17;8;0,08;18;0,16;10;0,07;12;0,11;13;0,10
3
0;5460;3,84
796;5,60;285;2,89;508;4,41;730;5,10;731;6,01;643;3,42;375;4,31;417;3,00;325;2,72;403;2,28;247;2,70
0;2475;2,06
153;1,61;249;2,88;121;3,44;311;2,72;453;2,97;77;1,69;144;1,93;207;1,97;285;1,61;255;1,54;220;1,47
0;3300;2,20
362;1,99;348;2,29;532;2,84;194;1,76;230;1,89;261;1,73;127;1,65;168;1,70;309;2,37;272;2,31;497;2,85
0;3103;2,27
284;3,24;174;1,72;213;1,94;168;1,70;404;2,41;244;2,43;256;2,82;360;2,14;224;2,08;350;2,16;426;2,46
0;4075;3,16
337;2,82;567;3,40;244;3,76;335;2,84;418;3,01;444;4,49;313;3,95;435;3,65;305;2,34;296;2,43;381;2,89
0;4054;2,84
321;2,25;559;3,21;345;2,47;463;3,86;300;2,27;377;2,43;415;3,56;312;3,05;329;2,74;365;2,93;268;2,67
0;4264;3,39
467;3,18;603;3,46;280;2,05;335;3,93;462;3,58;460;3,86;442;3,86;234;2,75;407;3,99;227;2,86;347;4,11
0;4387;3,32
346;2,92;203;2,18;259;2,96;548;3,67;402;2,47;437;3,81;396;3,74;548;4,81;564;3,88;303;2,85;381;3,06
4
5;45128;31,74
4881;34,33;3103;31,47;3986;34,64;5200;36,36;4135;33,97;5324;28,29;3231;37,16;4360;31,41;2692;22,57;5323;30,10;2893;31,67
5;46973;39,09
3110;32,82;3487;40,32;1542;43,79;5102;44,54;6668;43,75;1845;40,51;2368;31,69;3481;33,20;7376;41,55;7717;46,60;4277;28,49
5;57292;38,13
6011;33,04;5809;38,17;6659;35,56;4614;41,93;4966;40,83;5205;34,48;2882;37,45;4372;44,20;5266;40,35;4949;41,95;6559;37,62
5;49947;36,51
3155;35,99;2252;22,32;3436;31,36;2534;25,63;6576;39,17;4363;43,43;3723;40,94;6902;40,99;4469;41,42;5654;34,82;6883;39,73
5;39239;30,43
3128;26,16;5504;33,02;2372;36,59;3799;32,17;4284;30,88;2506;25,34;2262;28,52;2949;24,72;4992;38,24;3443;28,27;4000;30,36
5;47924;33,59
4186;29,36;4295;24,68;5084;36,37;3206;26,74;5171;39,21;5720;36,82;3693;31,70;2682;26,26;4241;35,38;5533;44,36;4113;41,05
7;42528;33,85
3538;24,11;4850;27,82;3602;26,43;3130;36,71;4776;36,98;4443;37,31;3780;32,99;3504;41,22;4182;41,03;3268;41,18;3455;40,93
4;39765;30,10
3709;31,35;2134;22,95;3053;34,86;4362;29,21;5198;31,89;3807;33,18;2970;28,09;3870;34,00;3716;25,59;3721;35,06;3225;25,93
5
0;0;0,00
0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00
0;0;0,00
0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00
0;0;0,00
0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00
0;0;0,00
0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00
0;0;0,00
0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00
0;0;0,00
0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00
0;147;0,12
17;0,12;20;0,11;12;0,09;6;0,07;16;0,12;18;0,15;13;0,11;5;0,06;9;0,09;14;0,18;17;0,20
0;0;0,00
0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00
6
1;6037;4,25
565;3,97;474;4,81;540;4,69;768;5,37;523;4,30;617;3,28;335;3,85;911;6,56;407;3,41;581;3,29;316;3,46
1;5199;4,33
279;2,94;474;5,48;181;5,14;804;7,02;702;4,61;191;4,19;290;3,88;470;4,48;537;3,02;756;4,57;515;3,43
1;9659;6,43
664;3,65;684;4,49;692;3,70;810;7,36;1046;8,60;906;6,00;1079;14,02;1032;10,43;1192;9,13;821;6,96;733;4,20
1;6978;5,10
290;3,31;253;2,51;418;3,82;299;3,02;856;5,10;788;7,84;704;7,74;1108;6,58;999;9,26;516;3,18;747;4,31
0;3723;2,89
226;1,89;523;3,14;367;5,66;326;2,76;405;2,92;211;2,13;243;3,06;333;2,79;418;3,20;344;2,82;327;2,48
0;4691;3,29
469;3,29;412;2,37;508;3,63;291;2,43;663;5,03;452;2,91;270;2,32;281;2,75;422;3,52;563;4,51;360;3,59
0;4801;3,82
329;2,24;421;2,41;307;2,25;422;4,95;527;4,08;411;3,45;413;3,60;585;6,88;520;5,10;408;5,14;458;5,43
0;3850;2,91
305;2,58;184;1,98;265;3,03;444;2,97;593;3,64;389;3,39;268;2,53;313;2,75;332;2,29;459;4,32;298;2,40
7
0;438;0,31
72;0,51;54;0,55;49;0,43;31;0,22;20;0,16;45;0,24;40;0,46;28;0,20;25;0,21;36;0,20;38;0,42
0;1800;1,50
16;0,17;116;1,34;63;1,79;616;5,38;695;4,56;20;0,44;27;0,36;90;0,86;51;0,29;53;0,32;53;0,35
0;484;0,32
95;0,52;66;0,43;61;0,33;29;0,26;36;0,30;30;0,20;7;0,09;22;0,22;45;0,34;26;0,22;67;0,38
0;484;0,35
48;0,55;26;0,26;22;0,20;23;0,23;57;0,34;60;0,60;42;0,46;50;0,30;42;0,39;47;0,29;67;0,39
0;409;0,32
22;0,18;49;0,29;30;0,46;37;0,31;43;0,31;26;0,26;58;0,73;61;0,51;22;0,17;26;0,21;35;0,27
0;399;0,28
28;0,20;58;0,33;31;0,22;33;0,28;56;0,42;28;0,18;30;0,26;53;0,52;33;0,28;21;0,17;28;0,28
0;411;0,33
41;0,28;67;0,38;35;0,26;36;0,42;24;0,19;38;0,32;69;0,60;23;0,27;29;0,28;21;0,26;28;0,33
0;212;0,16
9;0,08;15;0,16;18;0,21;22;0,15;29;0,18;18;0,16;22;0,21;20;0,18;27;0,19;17;0,16;15;0,12
8
0;7320;5,15
623;4,38;389;3,95;552;4,80;573;4,01;497;4,08;802;4,26;293;3,37;471;3,39;401;3,36;2292;12,96;427;4,67
0;3485;2,90
209;2,21;291;3,36;106;3,01;368;3,21;542;3,56;138;3,03;301;4,03;611;5,83;344;1,94;276;1,67;299;1,99
0;5918;3,94
