DZ22PV_ID,OVK,OVK_DUP,OVK_ime,OB_MID,OB_ID,obmocje,name,sedez_naslov,sedez_posta,lat,lon
32,3007,1,Ljubljana-Center,,,Del mestne občine Ljubljana (v skladu z ZDVEDZ),Gospodarsko razstavišče (Marmorna dvorana),Dunajska cesta 18,1000 Ljubljana,46.06188,14.50819
33,3008,1,Ljubljana-Šiška 1,,,Del mestne občine Ljubljana (v skladu z ZDVEDZ),Gospodarsko razstavišče (Marmorna dvorana),Dunajska cesta 18,1000 Ljubljana,46.06188,14.50819
34,3009,1,Ljubljana-Šiška 2,,,Del mestne občine Ljubljana (v skladu z ZDVEDZ),Gospodarsko razstavišče (Marmorna dvorana),Dunajska cesta 18,1000 Ljubljana,46.06188,14.50819
35,3010,1,Ljubljana-Šiška 3,,,Del mestne občine Ljubljana (v skladu z ZDVEDZ),Gospodarsko razstavišče (Marmorna dvorana),Dunajska cesta 18,1000 Ljubljana,46.06188,14.50819
36,3011,1,Ljubljana-Šiška 4,,,Občini Medvode in Vodice ter del mestne občine Ljubljana (v skladu z ZDVEDZ),Gospodarsko razstavišče (Marmorna dvorana),Dunajska cesta 18,1000 Ljubljana,46.06188,14.50819
37,4001,1,Kočevje,,,"Občine Kočevje, Kostel in Osilnica",Občina Kočevje,Ljubljanska cesta 26,1330 Kočevje,45.64292,14.85571
38,4002,1,Ribnica-Dobrepolje,,,"Občine Loški Potok, Ribnica, Sodražica in Dobrepolje",Upravna enota Ribnica,Gorenjska cesta 9,1310 Ribnica,45.74110,14.72529
39,4003,1,Grosuplje,,,Občina Grosuplje,Družbeni dom Grosuplje,Taborska cesta 1,1290 Grosuplje,45.95713,14.65332
40,4004,1,Ivančna Gorica,,,Del občine Ivančna Gorica (v skladu z ZDVEDZ),Kulturni dom Ivančna Gorica,Sokolska ulica 4,1295 Ivančna Gorica,45.93863,14.80448
41,4005,1,Ljubljana-Moste Polje 1,,,Del mestne občine Ljubljana in del občine Dol pri Ljubljani (v skladu z ZDVEDZ),Gospodarsko razstavišče (Marmorna dvorana),Dunajska cesta 18,1000 Ljubljana,46.06188,14.50819
42,4006,1,Ljubljana-Moste Polje 2,,,Del mestne občine Ljubljana (v skladu z ZDVEDZ),Gospodarsko razstavišče (Marmorna dvorana),Dunajska cesta 18,1000 Ljubljana,46.06188,14.50819
43,4007,1,Ljubljana-Moste Polje 3,,,Del mestne občine Ljubljana (v skladu z ZDVEDZ),Gospodarsko razstavišče (Marmorna dvorana),Dunajska cesta 18,1000 Ljubljana,46.06188,14.50819
44,4008,1,Ljubljana-Bežigrad 1,,,Del občine Dol pri Ljubljani in del mestne občine Ljubljana (v skladu z ZDVEDZ),Gospodarsko razstavišče (Marmorna dvorana),Dunajska cesta 18,1000 Ljubljana,46.06188,14.50819
45,4009,1,Ljubljana-Bežigrad 2,,,Del mestne občine Ljubljana (v skladu z ZDVEDZ),Gospodarsko razstavišče (Marmorna dvorana),Dunajska cesta 18,1000 Ljubljana,46.06188,14.50819
